"workflowid","gsm_version","param","index","default","configurable","gsm_analysis_date"
"kri0001","1.8.4","strGroup",NA,"Site",FALSE,2024-01-11
"kri0001","1.8.4","vThreshold",1,"-3",TRUE,2024-01-11
"kri0001","1.8.4","vThreshold",2,"-2",TRUE,2024-01-11
"kri0001","1.8.4","vThreshold",3,"2",TRUE,2024-01-11
"kri0001","1.8.4","vThreshold",4,"3",TRUE,2024-01-11
"kri0001","1.8.4","strMethod",NA,"NormalApprox",FALSE,2024-01-11
"kri0001","1.8.4","nMinDenominator",NA,"30",TRUE,2024-01-11
"kri0002","1.8.4","strGroup",NA,"Site",FALSE,2024-01-11
"kri0002","1.8.4","vThreshold",1,"-3",TRUE,2024-01-11
"kri0002","1.8.4","vThreshold",2,"-2",TRUE,2024-01-11
"kri0002","1.8.4","vThreshold",3,"2",TRUE,2024-01-11
"kri0002","1.8.4","vThreshold",4,"3",TRUE,2024-01-11
"kri0002","1.8.4","strMethod",NA,"NormalApprox",FALSE,2024-01-11
"kri0002","1.8.4","nMinDenominator",NA,"30",TRUE,2024-01-11
"kri0003","1.8.4","strGroup",NA,"Site",FALSE,2024-01-11
"kri0003","1.8.4","vThreshold",1,"-3",TRUE,2024-01-11
"kri0003","1.8.4","vThreshold",2,"-2",TRUE,2024-01-11
"kri0003","1.8.4","vThreshold",3,"2",TRUE,2024-01-11
"kri0003","1.8.4","vThreshold",4,"3",TRUE,2024-01-11
"kri0003","1.8.4","strMethod",NA,"NormalApprox",FALSE,2024-01-11
"kri0003","1.8.4","nMinDenominator",NA,"30",TRUE,2024-01-11
"kri0004","1.8.4","strGroup",NA,"Site",FALSE,2024-01-11
"kri0004","1.8.4","vThreshold",1,"-3",TRUE,2024-01-11
"kri0004","1.8.4","vThreshold",2,"-2",TRUE,2024-01-11
"kri0004","1.8.4","vThreshold",3,"2",TRUE,2024-01-11
"kri0004","1.8.4","vThreshold",4,"3",TRUE,2024-01-11
"kri0004","1.8.4","strMethod",NA,"NormalApprox",FALSE,2024-01-11
"kri0004","1.8.4","nMinDenominator",NA,"30",TRUE,2024-01-11
"kri0005","1.8.4","strGroup",NA,"Site",FALSE,2024-01-11
"kri0005","1.8.4","vThreshold",1,"-3",TRUE,2024-01-11
"kri0005","1.8.4","vThreshold",2,"-2",TRUE,2024-01-11
"kri0005","1.8.4","vThreshold",3,"2",TRUE,2024-01-11
"kri0005","1.8.4","vThreshold",4,"3",TRUE,2024-01-11
"kri0005","1.8.4","strMethod",NA,"NormalApprox",FALSE,2024-01-11
"kri0005","1.8.4","nMinDenominator",NA,"30",TRUE,2024-01-11
"kri0006","1.8.4","strGroup",NA,"Site",FALSE,2024-01-11
"kri0006","1.8.4","vThreshold",1,"-3",TRUE,2024-01-11
"kri0006","1.8.4","vThreshold",2,"-2",TRUE,2024-01-11
"kri0006","1.8.4","vThreshold",3,"2",TRUE,2024-01-11
"kri0006","1.8.4","vThreshold",4,"3",TRUE,2024-01-11
"kri0006","1.8.4","strMethod",NA,"NormalApprox",FALSE,2024-01-11
"kri0006","1.8.4","nMinDenominator",NA,"3",TRUE,2024-01-11
"kri0007","1.8.4","strGroup",NA,"Site",FALSE,2024-01-11
"kri0007","1.8.4","vThreshold",1,"-3",TRUE,2024-01-11
"kri0007","1.8.4","vThreshold",2,"-2",TRUE,2024-01-11
"kri0007","1.8.4","vThreshold",3,"2",TRUE,2024-01-11
"kri0007","1.8.4","vThreshold",4,"3",TRUE,2024-01-11
"kri0007","1.8.4","strMethod",NA,"NormalApprox",FALSE,2024-01-11
"kri0007","1.8.4","nMinDenominator",NA,"3",TRUE,2024-01-11
"kri0008","1.8.4","strGroup",NA,"Site",FALSE,2024-01-11
"kri0008","1.8.4","vThreshold",1,"-3",TRUE,2024-01-11
"kri0008","1.8.4","vThreshold",2,"-2",TRUE,2024-01-11
"kri0008","1.8.4","vThreshold",3,"2",TRUE,2024-01-11
"kri0008","1.8.4","vThreshold",4,"3",TRUE,2024-01-11
"kri0008","1.8.4","strMethod",NA,"NormalApprox",FALSE,2024-01-11
"kri0008","1.8.4","nMinDenominator",NA,"30",TRUE,2024-01-11
"kri0009","1.8.4","strGroup",NA,"Site",FALSE,2024-01-11
"kri0009","1.8.4","vThreshold",1,"-3",TRUE,2024-01-11
"kri0009","1.8.4","vThreshold",2,"-2",TRUE,2024-01-11
